DATE;Heure;ana1
29-08-2024;02:34:26;25.78
29-08-2024;03:06:49;25.68
29-08-2024;03:39:13;25.59
29-08-2024;04:11:36;25.40
29-08-2024;04:44:00;25.31
29-08-2024;05:16:23;25.22
29-08-2024;05:48:47;25.12
29-08-2024;06:21:09;24.84
29-08-2024;06:53:32;24.75
29-08-2024;07:25:55;24.66
29-08-2024;07:58:17;24.47
29-08-2024;08:30:39;24.29
29-08-2024;09:03:03;24.10
29-08-2024;09:35:24;24.01
29-08-2024;10:07:47;24.38
29-08-2024;10:40:09;24.84
29-08-2024;11:12:32;25.22
29-08-2024;11:44:56;25.50
29-08-2024;12:17:19;25.78
29-08-2024;12:49:43;26.06
29-08-2024;13:22:07;26.24
29-08-2024;13:54:31;26.53
29-08-2024;14:26:56;26.53
29-08-2024;14:59:21;26.62
29-08-2024;15:31:45;26.71
29-08-2024;16:04:09;26.71
29-08-2024;16:36:34;26.81
29-08-2024;17:09:00;26.90
29-08-2024;17:41:24;27.00
29-08-2024;18:13:49;27.09
29-08-2024;18:46:14;27.09
29-08-2024;19:18:39;27.09
29-08-2024;19:51:04;27.00
29-08-2024;20:23:29;26.71
29-08-2024;20:55:54;26.43
29-08-2024;21:28:18;26.15
29-08-2024;22:00:42;25.96
29-08-2024;22:33:05;25.78
29-08-2024;23:05:29;25.68
29-08-2024;23:37:53;25.59
30-08-2024;00:10:17;25.50
30-08-2024;00:42:40;25.50
30-08-2024;01:15:03;25.40
30-08-2024;01:47:27;25.40
30-08-2024;02:19:51;25.40
30-08-2024;02:52:14;25.31
30-08-2024;03:24:37;25.31
30-08-2024;03:57:00;25.22
30-08-2024;04:29:23;25.12
30-08-2024;05:01:46;25.03
30-08-2024;05:34:10;24.94
30-08-2024;06:06:33;24.94
30-08-2024;06:38:56;24.84
30-08-2024;07:11:18;24.75
30-08-2024;07:43:41;24.66
30-08-2024;08:16:05;24.66
30-08-2024;08:48:27;24.57
30-08-2024;09:20:50;24.94
30-08-2024;09:53:13;25.03
30-08-2024;10:25:36;25.50
30-08-2024;10:57:59;25.96
30-08-2024;11:30:24;25.96
30-08-2024;12:02:48;26.34
30-08-2024;12:35:12;26.53
30-08-2024;13:07:36;26.81
30-08-2024;13:40:01;27.09
30-08-2024;14:12:26;27.28
30-08-2024;14:44:52;27.47
30-08-2024;15:17:17;27.66
30-08-2024;15:49:43;27.75
30-08-2024;16:22:08;27.84
30-08-2024;16:54:34;27.94
30-08-2024;17:26:59;28.03
30-08-2024;17:59:26;28.13
30-08-2024;18:31:52;28.22
30-08-2024;19:04:18;28.22
30-08-2024;19:36:44;28.22
30-08-2024;20:09:10;28.13
30-08-2024;20:41:36;28.03
30-08-2024;21:14:02;27.84
30-08-2024;21:46:28;27.66
30-08-2024;22:18:53;27.47
30-08-2024;22:51:18;27.37
30-08-2024;23:23:43;27.18
30-08-2024;23:56:09;27.00
31-08-2024;00:28:33;26.81
31-08-2024;01:00:58;26.71
31-08-2024;01:33:22;26.53
31-08-2024;02:05:46;26.43
31-08-2024;02:38:12;26.24
31-08-2024;03:10:36;26.15
31-08-2024;03:43:00;26.06
31-08-2024;04:15:23;25.96
31-08-2024;04:47:47;25.87
31-08-2024;05:20:11;25.78
31-08-2024;05:52:35;25.68
31-08-2024;06:24:59;25.59
31-08-2024;06:57:22;25.59
31-08-2024;07:29:45;25.50
31-08-2024;08:02:09;25.50
31-08-2024;08:34:33;25.40
31-08-2024;09:06:56;25.40
31-08-2024;09:39:20;25.68
