DATE;Heure;temp_int;temp_consigne;puissance;mode
15-11-2016;00:00:01;21.1;0.0;0;1
15-11-2016;00:05:01;21.1;0.0;0;1
15-11-2016;00:10:01;21.1;0.0;0;1
15-11-2016;00:15:01;21.1;0.0;0;1
15-11-2016;00:20:01;21.1;0.0;0;1
15-11-2016;00:25:01;21.0;0.0;0;1
15-11-2016;00:30:01;21.0;0.0;0;1
15-11-2016;00:35:02;20.9;0.0;0;1
15-11-2016;00:40:01;20.9;0.0;0;1
15-11-2016;00:45:02;20.9;0.0;0;1
15-11-2016;00:50:01;20.8;0.0;0;1
15-11-2016;00:55:01;20.8;0.0;0;1
15-11-2016;01:00:01;20.8;0.0;0;1
15-11-2016;01:05:01;20.7;0.0;0;1
15-11-2016;01:10:01;20.6;0.0;0;1
15-11-2016;01:15:01;20.6;0.0;0;1
15-11-2016;01:20:01;20.6;0.0;0;1
15-11-2016;01:25:01;20.5;0.0;0;1
15-11-2016;01:30:01;20.5;0.0;0;1
15-11-2016;01:35:01;20.5;0.0;0;1
15-11-2016;01:40:01;20.5;0.0;0;1
15-11-2016;01:45:01;20.4;0.0;0;1
15-11-2016;01:50:01;20.4;0.0;0;1
15-11-2016;01:55:01;20.3;0.0;0;1
15-11-2016;02:00:01;20.3;20.5;75;2
15-11-2016;02:05:01;20.3;20.5;1;2
15-11-2016;02:10:01;20.2;20.5;1;2
15-11-2016;02:15:01;20.2;20.5;1;2
15-11-2016;02:20:01;20.2;20.5;1;2
15-11-2016;02:25:01;20.2;20.5;1;2
15-11-2016;02:30:02;20.2;20.5;1;2
15-11-2016;02:35:01;20.1;20.5;1;2
15-11-2016;02:40:01;20.1;20.5;1;2
15-11-2016;02:45:01;20.1;20.5;1;2
15-11-2016;02:50:01;20.1;20.5;1;2
15-11-2016;02:55:01;20.1;20.5;1;2
15-11-2016;03:00:01;20.1;20.5;1;2
15-11-2016;03:05:01;20.1;20.5;1;2
15-11-2016;03:10:01;20.1;20.5;1;2
15-11-2016;03:15:01;20.2;20.5;1;2
15-11-2016;03:20:01;20.2;20.5;1;2
15-11-2016;03:25:01;20.2;20.5;1;2
15-11-2016;03:30:01;20.2;20.5;1;2
15-11-2016;03:35:01;20.2;20.5;1;2
15-11-2016;03:40:01;20.3;20.5;1;2
15-11-2016;03:45:01;20.3;20.5;1;2
15-11-2016;03:50:01;20.3;20.5;1;2
15-11-2016;03:55:01;20.4;20.5;1;2
15-11-2016;04:00:02;20.4;20.5;1;2
15-11-2016;04:05:01;20.4;20.5;1;2
15-11-2016;04:10:01;20.4;20.5;1;2
15-11-2016;04:15:01;20.5;20.5;1;2
15-11-2016;04:20:02;20.5;20.5;1;2
15-11-2016;04:25:01;20.5;20.5;0;3
15-11-2016;04:30:01;20.5;20.5;0;1
15-11-2016;04:35:01;20.6;0.0;0;1
15-11-2016;04:40:01;20.6;20.5;0;1
15-11-2016;04:45:01;20.6;20.5;0;1
15-11-2016;04:50:01;20.7;20.5;0;1
15-11-2016;04:55:01;20.7;20.5;0;1
15-11-2016;05:00:01;20.7;20.5;0;1
15-11-2016;05:05:01;20.7;20.5;0;1
15-11-2016;05:10:01;20.7;20.5;0;1
15-11-2016;05:15:01;20.7;20.5;0;1
15-11-2016;05:20:01;20.7;20.5;0;1
15-11-2016;05:25:01;20.7;20.5;0;1
15-11-2016;05:30:01;20.7;20.5;0;1
