DATE;Heure;ana1 * 445.254
27-04-2013;07:09:47;8.905
27-04-2013;08:10:58;8.905
27-04-2013;09:28:51;44.525
27-04-2013;10:07:49;53.430
27-04-2013;11:03:28;204.817
27-04-2013;12:04:41;347.298
27-04-2013;13:22:38;138.029
27-04-2013;14:12:45;445.254
27-04-2013;15:14:01;1037.442
27-04-2013;15:19:35;1126.493
27-04-2013;16:37:34;592.188
27-04-2013;17:10:59;182.554
27-04-2013;18:17:48;89.051
27-04-2013;19:02:21;53.430
27-04-2013;20:03:36;22.263
27-04-2013;21:04:48;0.000
27-04-2013;22:11:33;13.358
27-04-2013;23:07:11;0.000
27-04-2013;23:34:59;0.000
28-04-2013;00:02:48;0.000
28-04-2013;01:03:57;0.000
28-04-2013;02:10:41;22.263
28-04-2013;03:06:17;0.000
28-04-2013;04:07:27;4.453
28-04-2013;05:36:24;0.000
28-04-2013;06:20:52;26.715
28-04-2013;07:05:21;0.000
28-04-2013;08:00:57;71.241
28-04-2013;09:07:41;409.634
28-04-2013;10:03:18;592.188
28-04-2013;11:49:05;632.261
28-04-2013;11:54:39;841.530
28-04-2013;12:00:13;338.393
28-04-2013;13:07:03;307.225
28-04-2013;14:02:45;253.795
28-04-2013;15:20:45;333.941
28-04-2013;16:22:03;235.985
28-04-2013;17:01:04;222.627
28-04-2013;18:24:37;231.532
28-04-2013;20:21:33;44.525
28-04-2013;21:00:31;0.000
28-04-2013;22:01:45;0.000
28-04-2013;23:02:57;0.000
28-04-2013;23:47:29;0.000
29-04-2013;00:09:45;0.000
29-04-2013;01:22:06;0.000
29-04-2013;02:01:02;0.000
29-04-2013;03:02:15;0.000
29-04-2013;04:14:34;0.000
29-04-2013;05:04:38;0.000
29-04-2013;06:00:16;0.000
29-04-2013;07:18:08;4.453
29-04-2013;08:02:38;13.358
29-04-2013;09:03:49;155.839
29-04-2013;10:21:46;316.130
29-04-2013;11:17:26;178.102
29-04-2013;12:02:00;146.934
29-04-2013;13:03:16;280.510
29-04-2013;14:15:40;80.146
29-04-2013;15:16:57;53.430
29-04-2013;16:01:29;0.000
29-04-2013;17:13:51;40.073
29-04-2013;18:15:05;40.073
29-04-2013;19:05:10;4.453
29-04-2013;20:23:05;8.905
29-04-2013;21:07:36;0.000
29-04-2013;22:03:15;0.000
29-04-2013;23:04:28;0.000
30-04-2013;00:22:22;0.000
30-04-2013;01:12:27;0.000
30-04-2013;02:24:47;0.000
30-04-2013;03:14:52;0.000
30-04-2013;04:21:39;0.000
30-04-2013;05:00:36;22.263
30-04-2013;06:01:49;0.000
30-04-2013;07:03:02;8.905
30-04-2013;08:09:48;80.146
30-04-2013;09:16:36;53.430
30-04-2013;10:01:07;267.152
30-04-2013;10:12:16;414.086
30-04-2013;11:02:23;102.408
30-04-2013;12:25:55;289.415
30-04-2013;13:10:29;204.817
30-04-2013;14:00:38;218.174
30-04-2013;15:07:31;302.773
30-04-2013;16:03:15;146.934
30-04-2013;17:04:34;93.503
30-04-2013;18:11:27;80.146
30-04-2013;19:29:29;26.715
30-04-2013;20:14:04;22.263
30-04-2013;21:09:48;0.000
30-04-2013;22:11:05;0.000
30-04-2013;23:01:13;0.000
30-04-2013;23:29:04;0.000
01-05-2013;00:02:29;0.000
01-05-2013;01:03:46;0.000
01-05-2013;02:05:02;0.000
01-05-2013;03:00:44;0.000
01-05-2013;04:02:00;0.000
01-05-2013;05:03:16;0.000
