DATE;Heure;credit;debit;capital
26-01-2014;00:00:00;0;1;5
27-01-2014;00:00:00;0;1;4
31-01-2014;00:00:00;0;1;3
01-02-2014;00:00:00;0;1;2
03-02-2014;00:00:00;0;1;1
05-02-2014;00:00:00;0;1;0
05-02-2014;00:00:00;32;0;32
07-02-2014;00:00:00;0;1;31
09-02-2014;00:00:00;0;1;30
11-02-2014;00:00:00;0;1;29
13-02-2014;00:00:00;0;1;28
15-02-2014;00:00:00;0;1;27
18-02-2014;00:00:00;0;1;26
20-02-2014;00:00:00;0;1;25
21-02-2014;00:00:00;0;1;24
02-03-2014;00:00:00;0;1;23
03-03-2014;00:00:00;0;1;22
06-03-2014;00:00:00;0;1;21
12-03-2014;00:00:00;0;1;20
19-03-2014;00:00:00;0;1;19
23-03-2014;00:00:00;0;1;18
27-03-2014;00:00:00;0;1;16
27-03-2014;00:00:00;0;1;17
30-03-2014;00:00:00;0;1;15
30-03-2014;00:00:00;0;1;14
04-04-2014;00:00:00;0;1;13
28-04-2014;00:00:00;0;1;12
30-10-2014;00:00:00;72;0;84
07-11-2014;00:00:00;0;1;83
14-11-2014;00:00:00;0;1;82
19-11-2014;00:00:00;0;1;81
26-11-2014;00:00:00;0;1;80
02-12-2014;00:00:00;0;1;79
04-12-2014;00:00:00;0;1;78
06-12-2014;00:00:00;0;1;77
08-12-2014;00:00:00;0;1;76
09-12-2014;00:00:00;0;1;75
12-12-2014;00:00:00;0;1;74
14-12-2014;00:00:00;0;1;73
17-12-2014;00:00:00;0;1;72
20-12-2014;00:00:00;0;1;71
27-12-2014;00:00:00;0;1;70
28-12-2014;00:00:00;0;1;69
01-01-2015;00:00:00;0;1;68
03-01-2015;00:00:00;0;1;67
05-01-2015;00:00:00;0;1;66
07-01-2015;00:00:00;0;1;65
09-01-2015;00:00:00;0;1;64
12-01-2015;00:00:00;0;1;63
15-01-2015;00:00:00;0;1;62
17-01-2015;00:00:00;0;1;61
19-01-2015;00:00:00;0;1;60
21-01-2015;00:00:00;0;1;59
23-01-2015;00:00:00;0;1;58
24-01-2015;00:00:00;0;1;57
26-01-2015;00:00:00;0;1;56
27-01-2015;00:00:00;0;1;55
01-02-2015;00:00:00;0;1;54
03-02-2015;00:00:00;0;1;53
05-02-2015;00:00:00;0;1;52
06-02-2015;00:00:00;0;1;50
06-02-2015;00:00:00;0;1;51
08-02-2015;00:00:00;0;1;49
10-02-2015;00:00:00;0;1;48
13-02-2015;00:00:00;0;1;47
15-02-2015;00:00:00;0;1;46
18-02-2015;00:00:00;0;1;45
22-02-2015;00:00:00;0;1;44
24-02-2015;00:00:00;0;1;43
26-02-2015;00:00:00;0;1;42
01-03-2015;00:00:00;0;1;41
04-03-2015;00:00:00;0;1;40
07-03-2015;00:00:00;0;1;39
13-03-2015;00:00:00;0;1;38
15-03-2015;00:00:00;0;1;37
17-03-2015;00:00:00;0;1;36
22-03-2015;00:00:00;0;1;35
24-03-2015;00:00:00;0;1;34
27-03-2015;00:00:00;0;1;33
30-03-2015;00:00:00;0;1;32
03-04-2015;00:00:00;0;1;31
11-04-2015;00:00:00;0;1;30
22-10-2015;00:00:00;0;1;29
16-11-2015;00:00:00;0;1;28
23-11-2015;00:00:00;0;1;27
24-11-2015;00:00:00;0;1;26
27-11-2015;00:00:00;0;1;25
02-12-2015;00:00:00;0;1;24
04-12-2015;00:00:00;0;1;23
09-12-2015;00:00:00;0;1;21
09-12-2015;00:00:00;0;1;22
12-12-2015;00:00:00;0;1;20
15-12-2015;00:00:00;0;1;19
20-12-2015;00:00:00;0;1;18
25-12-2015;00:00:00;0;1;17
29-12-2015;00:00:00;0;1;16
02-01-2016;00:00:00;0;1;15
05-01-2016;00:00:00;0;1;14
06-01-2016;00:00:00;0;1;13
10-01-2016;00:00:00;0;1;12
12-01-2016;00:00:00;0;1;11
14-01-2016;00:00:00;0;1;10
15-01-2016;00:00:00;0;1;9
18-01-2016;00:00:00;0;1;8
21-01-2016;00:00:00;0;1;7
22-01-2016;00:00:00;20;0;27
23-01-2016;00:00:00;0;3;24
25-01-2016;00:00:00;0;2;22
28-01-2016;00:00:00;0;1;21
02-02-2016;00:00:00;0;1;20
26-02-2016;00:00:00;0;1;19
28-02-2016;00:00:00;0;1;18
01-03-2016;00:00:00;0;1;17
02-03-2016;00:00:00;0;1;16
05-03-2016;00:00:00;0;1;15
07-03-2016;00:00:00;0;1;14
10-03-2016;00:00:00;0;1;13
11-03-2016;00:00:00;0;1;12
14-03-2016;00:00:00;0;2;10
17-03-2016;00:00:00;0;1;9
19-03-2016;00:00:00;0;1;8
23-03-2016;00:00:00;0;1;7
28-03-2016;00:00:00;0;1;6
01-04-2016;00:00:00;0;1;5
05-04-2016;00:00:00;0;1;4
09-04-2016;00:00:00;0;1;3
18-04-2016;00:00:00;0;1;2
24-04-2016;00:00:00;0;0;2
25-04-2016;00:00:00;0;1;1
30-04-2016;00:00:00;0;1;0
23-09-2016;00:00:00;41;0;41
04-11-2016;00:00:00;0;1;40
07-11-2016;00:00:00;0;1;39
09-11-2016;00:00:00;0;1;38
12-11-2016;00:00:00;0;1;37
16-11-2016;00:00:00;0;1;36
18-11-2016;00:00:00;0;1;35
24-11-2016;00:00:00;0;1;34
29-11-2016;00:00:00;0;1;33
