DATE;Heure;ana1
16-01-2011;00:42:21;10.75
16-01-2011;01:00:58;9.52
16-01-2011;02:00:56;8.09
16-01-2011;03:00:53;7.54
16-01-2011;04:00:50;7.07
16-01-2011;05:00:46;6.61
16-01-2011;06:00:41;5.79
16-01-2011;07:00:37;5.59
16-01-2011;08:00:34;5.64
16-01-2011;08:31:33;5.34
16-01-2011;09:00:29;5.64
16-01-2011;10:00:26;9.50
16-01-2011;11:00:27;13.11
16-01-2011;12:00:32;17.21
16-01-2011;13:00:41;21.53
16-01-2011;14:00:57;24.09
16-01-2011;15:00:14;26.09
16-01-2011;16:00:37;29.05
16-01-2011;16:03:45;29.06
16-01-2011;17:00:00;27.71
16-01-2011;18:00:16;16.84
16-01-2011;19:00:20;11.93
16-01-2011;20:00:20;10.07
16-01-2011;21:00:19;9.43
16-01-2011;22:00:18;8.98
16-01-2011;23:00:16;8.57
17-01-2011;00:00:13;8.20
17-01-2011;01:00:11;8.77
17-01-2011;02:00:09;9.11
17-01-2011;03:00:07;9.20
17-01-2011;04:00:05;8.36
17-01-2011;05:00:02;7.66
17-01-2011;06:01:00;7.32
17-01-2011;07:01:58;6.86
17-01-2011;07:37:06;6.79
17-01-2011;23:34:26;22.91
18-01-2011;00:03:30;20.84
18-01-2011;01:01:38;20.50
18-01-2011;02:00:48;20.23
18-01-2011;03:02:02;20.00
18-01-2011;04:02:13;19.77
18-01-2011;04:19:51;19.73
18-01-2011;05:02:24;20.29
18-01-2011;06:00:33;22.00
18-01-2011;07:03:55;22.64
18-01-2011;08:00:00;22.16
18-01-2011;09:01:17;21.50
18-01-2011;10:00:28;21.52
18-01-2011;11:00:42;21.30
18-01-2011;12:05:04;21.50
18-01-2011;13:00:07;21.68
18-01-2011;14:00:21;21.75
18-01-2011;15:00:35;21.87
18-01-2011;16:00:49;21.73
18-01-2011;17:01:03;21.27
18-01-2011;18:02:18;21.32
18-01-2011;19:00:27;22.34
18-01-2011;20:00:43;23.62
18-01-2011;20:37:06;23.87
18-01-2011;21:01:00;23.73
18-01-2011;22:00:14;23.07
18-01-2011;23:00:30;22.46
19-01-2011;00:00:45;21.98
19-01-2011;01:02:01;21.44
19-01-2011;02:00:10;20.98
19-01-2011;03:00:22;20.55
19-01-2011;04:00:35;20.20
19-01-2011;05:01:49;20.43
19-01-2011;06:00:59;21.59
19-01-2011;07:00:11;22.00
19-01-2011;08:00:25;21.57
19-01-2011;09:00:39;20.89
19-01-2011;10:00:51;20.53
19-01-2011;11:00:02;20.73
19-01-2011;12:00:14;21.32
19-01-2011;13:00:28;22.14
19-01-2011;14:00:43;22.30
19-01-2011;15:00:58;22.37
19-01-2011;16:00:10;21.87
19-01-2011;17:00:24;21.21
19-01-2011;18:00:37;20.59
19-01-2011;19:00:49;20.19
19-01-2011;19:50:39;20.03
19-01-2011;20:01:01;20.05
19-01-2011;21:00:11;21.00
19-01-2011;21:45:48;23.69
19-01-2011;22:00:37;21.98
19-01-2011;23:00:49;21.43
20-01-2011;00:01:02;20.91
20-01-2011;01:00:11;20.36
20-01-2011;02:00:22;19.70
20-01-2011;03:00:31;19.18
20-01-2011;04:00:40;18.73
20-01-2011;04:20:23;18.61
20-01-2011;05:00:49;19.02
20-01-2011;06:00:59;20.16
20-01-2011;07:00:07;20.00
20-01-2011;08:00:17;19.61
20-01-2011;09:00:27;19.48
20-01-2011;10:00:38;19.79
20-01-2011;11:00:48;20.14
20-01-2011;12:00:59;20.78
20-01-2011;13:00:09;21.34
20-01-2011;14:00:22;21.94
20-01-2011;15:00:35;21.94
20-01-2011;16:00:49;21.50
20-01-2011;17:01:01;20.87
20-01-2011;18:00:10;20.14
20-01-2011;19:00:20;20.30
20-01-2011;20:00:32;21.43
20-01-2011;20:39:59;23.03
20-01-2011;21:00:45;22.16
20-01-2011;22:00:59;22.55
20-01-2011;23:00:10;22.14
21-01-2011;00:00:23;21.39
21-01-2011;01:00:35;20.57
21-01-2011;02:00:46;19.78
21-01-2011;03:00:55;19.18
21-01-2011;04:00:02;18.71
21-01-2011;05:00:11;19.09
21-01-2011;06:00:21;20.41
21-01-2011;07:00:32;20.32
21-01-2011;08:00:43;19.59
21-01-2011;09:00:52;19.27
21-01-2011;10:00:00;19.41
21-01-2011;11:00:10;19.70
21-01-2011;12:00:20;20.18
21-01-2011;13:00:31;20.14
21-01-2011;14:00:42;20.09
21-01-2011;15:00:52;19.86
21-01-2011;16:00:00;19.25
21-01-2011;17:00:09;18.75
21-01-2011;18:00:18;18.18
21-01-2011;18:44:53;17.93
21-01-2011;19:00:26;18.14
21-01-2011;19:58:57;22.05
21-01-2011;20:07:59;20.62
21-01-2011;21:02:04;21.12
23-01-2011;21:54:50;20.80
23-01-2011;21:55:53;21.73
23-01-2011;22:00:05;21.05
23-01-2011;23:00:03;20.66
23-01-2011;23:58:58;19.93
24-01-2011;00:00:01;19.91
24-01-2011;01:01:01;19.11
24-01-2011;02:00:58;18.45
24-01-2011;03:00:54;17.95
24-01-2011;03:33:30;17.62
24-01-2011;04:00:50;17.84
24-01-2011;05:00:47;19.21
24-01-2011;06:00:45;20.87
24-01-2011;07:00:45;21.21
24-01-2011;08:00:44;20.23
24-01-2011;09:00:43;19.18
24-01-2011;10:00:40;19.07
24-01-2011;11:01:41;19.39
24-01-2011;12:00:37;19.93
24-01-2011;13:00:36;20.43
24-01-2011;14:00:35;20.84
24-01-2011;15:00:35;21.02
24-01-2011;16:00:36;20.86
24-01-2011;17:00:36;20.34
24-01-2011;18:00:35;20.04
24-01-2011;19:00:35;20.20
24-01-2011;20:00:34;20.52
24-01-2011;21:00:35;21.14
24-01-2011;22:00:35;21.69
24-01-2011;22:26:55;21.89
24-01-2011;23:00:37;21.68
25-01-2011;00:00:38;20.98
25-01-2011;01:00:38;20.11
25-01-2011;02:01:41;19.27
25-01-2011;03:00:37;18.55
25-01-2011;04:00:35;17.98
25-01-2011;04:28:59;17.70
25-01-2011;05:00:32;17.98
25-01-2011;06:00:31;19.44
25-01-2011;07:00:31;20.12
25-01-2011;08:00:31;19.52
25-01-2011;09:00:30;18.73
25-01-2011;10:00:28;18.61
25-01-2011;11:00:27;19.09
25-01-2011;12:00:27;19.21
25-01-2011;13:00:26;18.46
25-01-2011;14:00:24;17.98
25-01-2011;15:00:23;17.93
25-01-2011;16:00:21;17.98
25-01-2011;19:16:58;18.43
25-01-2011;20:00:07;19.25
25-01-2011;21:00:07;20.75
25-01-2011;22:00:09;21.75
25-01-2011;22:23:20;21.93
25-01-2011;23:00:12;21.77
26-01-2011;00:00:14;20.98
26-01-2011;01:00:15;20.14
26-01-2011;02:00:16;19.27
26-01-2011;03:00:16;18.48
26-01-2011;04:00:15;17.84
26-01-2011;05:00:14;17.82
26-01-2011;06:00:14;19.16
26-01-2011;07:00:15;19.84
26-01-2011;12:28:17;19.41
26-01-2011;13:00:55;18.45
26-01-2011;14:00:54;17.73
26-01-2011;15:00:53;17.41
26-01-2011;16:01:56;17.16
26-01-2011;16:27:11;17.04
26-01-2011;17:00:52;17.45
26-01-2011;18:00:52;19.25
26-01-2011;19:00:54;21.18
26-01-2011;20:02:00;21.62
26-01-2011;20:13:35;21.68
26-01-2011;21:01:00;21.59
26-01-2011;22:00:00;21.62
26-01-2011;23:00:03;21.34
27-01-2011;19:35:37;19.52
27-01-2011;20:00:56;20.80
27-01-2011;21:00:51;21.64
27-01-2011;22:00:46;22.37
27-01-2011;22:28:06;22.46
27-01-2011;23:00:42;22.18
28-01-2011;00:00:37;21.28
28-01-2011;01:00:32;20.37
28-01-2011;02:00:27;19.69
28-01-2011;03:00:20;19.04
28-01-2011;04:00:13;18.52
28-01-2011;05:00:06;18.59
28-01-2011;06:01:03;19.98
28-01-2011;07:00:57;20.43
28-01-2011;08:00:52;20.11
28-01-2011;09:00:47;19.46
28-01-2011;10:00:41;18.77
28-01-2011;11:00:34;18.20
28-01-2011;12:00:27;17.84
28-01-2011;13:00:20;17.64
28-01-2011;14:00:12;17.46
28-01-2011;15:00:05;17.34
28-01-2011;15:45:15;17.20
28-01-2011;18:13:20;17.79
28-01-2011;19:00:38;19.23
28-01-2011;20:00:33;20.91
28-01-2011;21:00:30;22.11
28-01-2011;22:00:28;23.12
28-01-2011;22:25:43;23.30
28-01-2011;23:00:27;23.09
29-01-2011;00:00:25;22.28
29-01-2011;01:00:23;21.37
29-01-2011;02:00:20;20.78
29-01-2011;03:00:17;20.20
29-01-2011;04:00:13;19.66
29-01-2011;05:00:08;19.23
29-01-2011;06:00:03;18.82
29-01-2011;07:01:01;18.52
29-01-2011;08:01:59;18.84
29-01-2011;09:00:51;20.12
29-01-2011;10:00:48;20.25
29-01-2011;11:00:44;19.75
29-01-2011;12:00:40;19.23
29-01-2011;13:00:35;19.18
29-01-2011;14:00:31;19.05
29-01-2011;15:00:26;20.02
29-01-2011;16:00:23;21.12
29-01-2011;17:00:22;21.62
29-01-2011;18:00:20;21.68
29-01-2011;19:01:21;21.32
29-01-2011;20:00:16;20.62
29-01-2011;21:00:13;19.82
29-01-2011;22:00:09;19.18
29-01-2011;23:00:05;18.61
29-01-2011;23:58:57;18.28
30-01-2011;00:00:00;18.29
30-01-2011;01:00:57;17.86
30-01-2011;02:00:51;17.52
30-01-2011;03:01:48;17.25
30-01-2011;04:00:39;17.00
30-01-2011;05:00:32;16.79
30-01-2011;06:00:25;16.57
30-01-2011;07:00:18;16.43
30-01-2011;07:27:36;16.29
30-01-2011;08:01:13;16.68
30-01-2011;09:00:04;18.27
30-01-2011;10:01:03;20.04
30-01-2011;11:01:00;20.68
30-01-2011;12:00:57;20.23
30-01-2011;13:00:54;19.59
30-01-2011;14:00:50;19.39
30-01-2011;15:00:46;19.03
30-01-2011;16:00:42;18.64
30-01-2011;17:00:37;18.32
30-01-2011;18:00:32;17.96
30-01-2011;19:00:27;17.77
30-01-2011;20:00:22;18.73
30-01-2011;21:01:21;21.05
30-01-2011;22:00:17;22.21
30-01-2011;23:00:17;22.91
30-01-2011;23:01:20;22.93
31-01-2011;00:00:17;22.37
31-01-2011;01:00:16;21.28
31-01-2011;02:00:14;20.36
31-01-2011;03:00:11;19.57
31-01-2011;04:00:08;19.02
31-01-2011;05:00:04;19.07
31-01-2011;06:00:01;21.34
31-01-2011;07:00:00;22.30
31-01-2011;08:01:03;21.53
31-01-2011;09:01:01;20.36
31-01-2011;10:02:01;19.44
31-01-2011;11:00:55;18.62
31-01-2011;12:00:50;18.02
31-01-2011;13:00:45;17.89
31-01-2011;14:00:40;17.48
31-01-2011;15:00:34;17.07
31-01-2011;16:00:28;16.75
31-01-2011;17:00:21;16.43
31-01-2011;17:21:22;16.29
31-01-2011;18:00:14;16.71
31-01-2011;19:00:09;18.45
31-01-2011;20:00:05;20.02
31-01-2011;21:00:03;21.18
31-01-2011;22:00:02;21.91
31-01-2011;23:00:02;21.62
01-02-2011;00:00:15;21.07
01-02-2011;03:10:19;18.00
01-02-2011;06:53:24;20.39
01-02-2011;07:00:45;21.75
01-02-2011;07:03:54;21.80
01-02-2011;08:00:38;19.84
01-02-2011;09:00:30;18.71
01-02-2011;10:00:21;17.89
01-02-2011;11:00:12;17.32
01-02-2011;12:00:03;16.77
01-02-2011;13:00:57;16.36
01-02-2011;14:00:47;16.05
01-02-2011;15:01:40;15.66
01-02-2011;16:00:27;15.36
01-02-2011;17:00:17;15.07
01-02-2011;17:23:22;14.86
01-02-2011;18:00:07;15.37
01-02-2011;19:01:01;17.78
01-02-2011;20:00:56;19.59
01-02-2011;21:00:52;20.62
01-02-2011;22:00:50;21.55
01-02-2011;23:00:48;21.36
02-02-2011;00:00:45;20.36
02-02-2011;01:00:41;19.29
02-02-2011;02:00:36;18.43
02-02-2011;03:00:31;17.82
02-02-2011;04:00:25;17.95
02-02-2011;05:00:21;19.91
02-02-2011;06:00:19;21.89
02-02-2011;07:00:19;21.96
02-02-2011;08:00:17;20.75
02-02-2011;09:00:15;19.50
02-02-2011;10:00:11;18.43
02-02-2011;11:00:06;17.59
02-02-2011;12:00:00;16.98
02-02-2011;13:00:57;16.61
02-02-2011;14:00:50;16.37
02-02-2011;15:00:43;16.20
02-02-2011;16:00:36;16.03
02-02-2011;16:21:37;15.96
02-02-2011;17:00:30;16.50
02-02-2011;18:00:25;18.14
02-02-2011;19:00:22;19.75
02-02-2011;20:00:20;21.28
02-02-2011;21:01:24;22.46
02-02-2011;22:00:22;23.00
02-02-2011;22:01:25;23.05
02-02-2011;23:00:23;22.62
03-02-2011;00:00:23;21.75
03-02-2011;01:00:23;20.87
03-02-2011;02:00:21;20.09
03-02-2011;03:00:19;19.41
03-02-2011;04:00:16;19.52
03-02-2011;05:00:15;21.07
03-02-2011;06:00:15;22.68
03-02-2011;07:00:17;22.84
03-02-2011;08:00:18;21.98
03-02-2011;09:00:18;20.73
03-02-2011;10:00:16;19.98
03-02-2011;11:00:14;19.30
03-02-2011;12:00:11;18.78
03-02-2011;13:00:08;18.61
03-02-2011;13:46:24;18.34
03-02-2011;14:00:05;18.37
03-02-2011;15:00:01;18.66
03-02-2011;16:01:01;18.77
03-02-2011;17:00:58;18.53
03-02-2011;18:00:55;18.86
03-02-2011;19:00:53;20.44
03-02-2011;20:00:53;22.02
03-02-2011;21:00:55;23.12
03-02-2011;21:21:58;23.34
03-02-2011;22:02:00;23.09
03-02-2011;23:00:58;22.41
04-02-2011;00:00:59;21.66
04-02-2011;01:00:59;20.98
04-02-2011;02:00:58;20.34
04-02-2011;03:02:00;19.79
04-02-2011;04:00:55;19.41
04-02-2011;05:00:52;19.05
04-02-2011;06:00:49;18.73
04-02-2011;07:01:49;18.52
04-02-2011;08:00:43;18.28
04-02-2011;09:00:40;17.95
04-02-2011;10:00:36;17.80
04-02-2011;11:00:32;17.62
04-02-2011;12:00:27;17.53
04-02-2011;12:24:38;17.46
04-02-2011;13:00:23;17.54
04-02-2011;14:00:19;17.78
04-02-2011;15:00:15;17.82
04-02-2011;16:00:11;17.70
04-02-2011;17:00:07;17.80
04-02-2011;18:00:03;17.66
04-02-2011;19:01:02;17.53
04-02-2011;20:00:59;18.80
04-02-2011;21:02:01;20.87
04-02-2011;22:00:58;22.11
04-02-2011;22:35:43;22.39
04-02-2011;23:01:00;22.27
05-02-2011;00:01:01;21.68
05-02-2011;01:01:01;21.00
05-02-2011;02:01:01;20.27
05-02-2011;03:00:59;19.61
05-02-2011;04:00:57;19.09
05-02-2011;05:00:55;18.66
05-02-2011;06:00:52;18.28
05-02-2011;07:00:49;17.93
05-02-2011;07:19:44;17.77
05-02-2011;08:00:45;18.32
05-02-2011;09:00:43;19.91
05-02-2011;10:00:43;20.48
05-02-2011;11:00:43;21.23
05-02-2011;12:00:44;22.05
05-02-2011;13:00:45;22.03
05-02-2011;14:00:46;22.62
05-02-2011;15:01:51;22.59
05-02-2011;16:00:50;22.41
05-02-2011;17:00:51;22.21
05-02-2011;18:00:53;21.84
05-02-2011;19:00:53;21.36
05-02-2011;20:00:54;21.80
05-02-2011;21:00:55;22.66
05-02-2011;22:00:58;23.41
05-02-2011;22:23:05;23.53
05-02-2011;23:01:00;23.36
06-02-2011;00:01:03;22.77
06-02-2011;01:00:01;21.91
06-02-2011;02:00:02;21.23
06-02-2011;03:01:05;20.55
06-02-2011;04:00:01;19.93
06-02-2011;05:01:03;19.36
06-02-2011;06:01:01;19.02
06-02-2011;07:00:59;18.64
06-02-2011;07:30:26;18.41
06-02-2011;08:00:56;18.82
06-02-2011;09:00:55;20.28
06-02-2011;10:00:55;21.27
06-02-2011;11:00:57;21.78
06-02-2011;12:00:59;22.84
06-02-2011;13:01:01;23.18
06-02-2011;14:00:00;22.68
06-02-2011;15:00:03;22.37
06-02-2011;16:00:04;22.16
06-02-2011;17:00:06;22.37
06-02-2011;18:00:08;22.19
06-02-2011;19:00:10;21.66
06-02-2011;20:00:10;21.57
06-02-2011;21:00:12;22.41
06-02-2011;22:00:15;23.55
06-02-2011;22:37:07;23.86
06-02-2011;23:00:18;23.75
07-02-2011;00:00:21;23.28
