id;date;saison;type_jour
246;2021-09-03;E;T
247;2021-09-04;E;W
248;2021-09-05;E;W
249;2021-09-06;E;T
250;2021-09-07;E;T
251;2021-09-08;E;T
252;2021-09-09;E;T
253;2021-09-10;E;T
254;2021-09-11;E;W
255;2021-09-12;E;W
256;2021-09-13;E;T
257;2021-09-14;E;T
258;2021-09-15;E;T
259;2021-09-16;E;T
260;2021-09-17;E;T
261;2021-09-18;E;W
262;2021-09-19;E;W
263;2021-09-20;E;T
264;2021-09-21;E;T
265;2021-09-22;A;T
266;2021-09-23;A;T
267;2021-09-24;A;T
268;2021-09-25;A;W
269;2021-09-26;A;W
270;2021-09-27;A;T
271;2021-09-28;A;T
272;2021-09-29;A;T
273;2021-09-30;A;T
274;2021-10-01;A;T
275;2021-10-02;A;W
276;2021-10-03;A;W
277;2021-10-04;A;T
278;2021-10-05;A;T
279;2021-10-06;A;T
280;2021-10-07;A;T
281;2021-10-08;A;T
282;2021-10-09;A;W
283;2021-10-10;A;W
284;2021-10-11;A;T
285;2021-10-12;A;T
286;2021-10-13;A;T
287;2021-10-14;A;T
288;2021-10-15;A;T
289;2021-10-16;A;W
290;2021-10-17;A;W
291;2021-10-18;A;T
292;2021-10-19;A;T
293;2021-10-20;A;T
294;2021-10-21;A;T
295;2021-10-22;A;T
296;2021-10-23;A;W
297;2021-10-24;A;W
298;2021-10-25;A;T
299;2021-10-26;A;T
300;2021-10-27;A;T
301;2021-10-28;A;T
302;2021-10-29;A;T
303;2021-10-30;A;W
304;2021-10-31;H;W
305;2021-11-01;H;W
306;2021-11-02;H;T
307;2021-11-03;H;T
308;2021-11-04;H;T
309;2021-11-05;H;T
310;2021-11-06;H;W
311;2021-11-07;H;W
312;2021-11-08;H;T
313;2021-11-09;H;T
314;2021-11-10;H;T
315;2021-11-11;H;W
316;2021-11-12;H;T
317;2021-11-13;H;W
318;2021-11-14;H;W
319;2021-11-15;H;T
320;2021-11-16;H;T
321;2021-11-17;H;T
322;2021-11-18;H;T
323;2021-11-19;H;T
324;2021-11-20;H;W
325;2021-11-21;H;W
326;2021-11-22;H;T
327;2021-11-23;H;T
328;2021-11-24;H;T
329;2021-11-25;H;T
330;2021-11-26;H;T
331;2021-11-27;H;W
332;2021-11-28;H;W
333;2021-11-29;H;T
334;2021-11-30;H;T
335;2021-12-01;H;T
336;2021-12-02;H;T
337;2021-12-03;H;T
338;2021-12-04;H;W
339;2021-12-05;H;W
340;2021-12-06;H;T
341;2021-12-07;H;T
342;2021-12-08;H;T
343;2021-12-09;H;T
344;2021-12-10;H;T
345;2021-12-11;H;W
346;2021-12-12;H;W
347;2021-12-13;H;T
348;2021-12-14;H;T
349;2021-12-15;H;T
350;2021-12-16;H;T
351;2021-12-17;H;T
352;2021-12-18;H;W
353;2021-12-19;H;W
354;2021-12-20;H;T
355;2021-12-21;H;T
356;2021-12-22;H;T
357;2021-12-23;H;T
358;2021-12-24;H;T
359;2021-12-25;H;W
360;2021-12-26;H;W
361;2021-12-27;H;T
362;2021-12-28;H;T
363;2021-12-29;H;T
364;2021-12-30;H;T
365;2021-12-31;H;T
